Semana,abrantes,agueda,aguiar da beira,alandroal,albergaria-a-velha,albufeira,alcacer do sal,alcanena,alcobaca,alcochete,alcoutim,alenquer,alfandega da fe,alijo,aljezur,aljustrel,almada,almeida,almeirim,almodovar,alpiarca,alter do chao,alvaiazere,alvito,amadora,amarante,amares,anadia,angra do heroismo,ansiao,arcos de valdevez,arganil,armamar,arouca,arraiolos,arronches,arruda dos vinhos,aveiro,avis,azambuja,baiao,barcelos,barrancos,barreiro,batalha,beja,belmonte,benavente,bombarral,borba,boticas,braga,braganca,cabeceiras de basto,cadaval,caldas da rainha,calheta (r.a.a.),calheta (r.a.m.),camara de lobos,caminha,campo maior,cantanhede,carrazeda de ansiaes,carregal do sal,cartaxo,cascais,castanheira de pera,castelo branco,castelo de paiva,castelo de vide,castro daire,castro marim,castro verde,celorico da beira,celorico de basto,chamusca,chaves,cinfaes,coimbra,condeixa-a-nova,constancia,coruche,corvo,covilha,crato,cuba,desconhecido,elvas,entroncamento,espinho,esposende,estarreja,estrangeiro,estremoz,evora,fafe,faro,felgueiras,ferreira do alentejo,ferreira do zezere,figueira da foz,figueira de castelo rodrigo,figueiro dos vinhos,fornos de algodres,freixo de espada a cinta,fronteira,funchal,fundao,gaviao,gois,golega,gondomar,gouveia,grandola,guarda,guimaraes,horta,idanha-a-nova,ilhavo,lagoa,lagoa (r.a.a),lagos,lajes das flores,lajes do pico,lamego,leiria,lisboa,loule,loures,lourinha,lousa,lousada,macao,macedo de cavaleiros,machico,madalena,mafra,maia,mangualde,manteigas,marco de canaveses,marinha grande,marvao,matosinhos,mealhada,meda,melgaco,mertola,mesao frio,mira,miranda do corvo,miranda do douro,mirandela,mogadouro,moimenta da beira,moita,moncao,monchique,mondim de basto,monforte,montalegre,montemor-o-novo,montemor-o-velho,montijo,mora,mortagua,moura,mourao,murca,murtosa,nazare,nelas,nisa,nordeste,obidos,odemira,odivelas,oeiras,oleiros,olhao,oliveira de azemeis,oliveira de frades,oliveira do bairro,oliveira do hospital,ourem,ourique,ovar,pacos de ferreira,palmela,pampilhosa da serra,paredes,paredes de coura,pedrogao grande,penacova,penafiel,penalva do castelo,penamacor,penedono,penela,peniche,peso da regua,pinhel,pombal,ponta delgada,ponta do sol,ponte da barca,ponte de lima,ponte de sor,portalegre,portel,portimao,porto,porto de mos,porto moniz,porto santo,povoacao,povoa de lanhoso,povoa de varzim,proenca-a-nova,redondo,reguengos de monsaraz,resende,ribeira brava,ribeira de pena,ribeira grande,rio maior,sabrosa,sabugal,salvaterra de magos,santa comba dao,santa cruz,santa cruz da graciosa,santa cruz das flores,santa maria da feira,santa marta de penaguiao,santana,santarem,santiago do cacem,santo tirso,sao bras de alportel,sao joao da madeira,sao joao da pesqueira,sao pedro do sul,sao roque do pico,sao vicente,sardoal,satao,seia,seixal,sernancelhe,serpa,serta,sesimbra,setubal,sever do vouga,silves,sines,sintra,sobral de monte agraco,soure,sousel,tabua,tabuaco,tarouca,tavira,terras de bouro,tomar,tondela,torre de moncorvo,torres novas,torres vedras,trancoso,trofa,vagos,vale de cambra,valenca,valongo,valpacos,velas,vendas novas,viana do alentejo,viana do castelo,vidigueira,vieira do minho,vila da praia da vitoria,vila de rei,vila do bispo,vila do conde,vila do porto,vila flor,vila franca de xira,vila franca do campo,vila nova da barquinha,vila nova de cerveira,vila nova de famalicao,vila nova de foz coa,vila nova de gaia,vila nova de paiva,vila nova de poiares,vila pouca de aguiar,vila real,vila real de santo antonio,vila velha de rodao,vila verde,vila vicosa,vimioso,vinhais,viseu,vizela,vouzela
 41-2015,5,5,3,1,7,3,4,2,11,2,1,6,1,3,2,1,26,0,2,0,3,2,3,1,36,9,2,10,6,6,2,5,1,2,0,1,3,11,2,3,2,10,0,11,0,11,0,1,2,1,1,19,6,4,2,9,0,1,4,7,3,11,2,1,11,31,0,16,1,1,5,0,3,1,6,1,7,2,27,3,0,5,1,12,0,0,88,1,5,4,5,8,11,7,6,7,10,4,2,3,20,2,0,1,2,1,21,3,2,2,1,27,3,7,9,20,3,3,8,7,3,4,0,1,5,13,96,16,27,6,3,7,2,3,5,0,13,13,5,2,7,5,0,27,1,2,2,1,1,4,3,3,2,1,1,7,4,0,2,1,1,8,2,11,1,1,3,2,2,0,0,3,2,0,1,3,12,30,3,10,9,3,9,4,7,2,3,3,13,1,6,3,1,0,5,5,3,0,2,6,4,1,8,12,1,3,7,5,5,4,12,39,7,3,0,0,3,6,1,1,4,3,2,1,2,1,2,7,9,5,5,1,1,15,3,3,11,3,6,1,5,1,3,1,1,0,4,3,20,3,3,1,4,15,5,5,4,38,5,5,1,3,0,1,8,2,9,4,1,3,13,3,7,3,3,1,13,5,1,6,2,12,0,2,4,2,2,11,1,1,12,1,1,2,11,1,43,2,3,6,5,0,4,6,1,1,1,25,3,2
 42-2015,11,8,4,3,4,2,6,5,3,1,1,8,0,3,0,3,38,3,6,2,1,0,2,2,25,6,3,5,5,6,11,1,1,3,1,1,3,10,0,5,1,14,0,12,1,9,1,4,4,2,0,30,7,3,5,9,0,2,5,8,0,6,3,2,5,28,0,7,2,1,1,2,3,0,1,0,6,5,30,4,2,3,0,8,1,2,93,6,2,4,6,4,8,5,4,7,13,4,2,2,11,5,2,1,2,1,16,11,0,0,1,17,3,2,8,31,1,2,5,3,2,4,0,0,4,19,107,8,31,3,4,2,1,3,2,0,7,18,3,1,8,4,2,23,3,2,1,4,1,3,4,4,5,2,0,10,5,1,6,0,3,2,7,6,1,5,3,1,1,2,3,5,1,0,2,8,9,27,1,5,7,2,2,6,4,2,11,3,17,0,11,1,1,4,8,0,2,1,0,4,0,3,8,8,1,4,11,3,2,1,13,42,3,0,0,0,0,10,1,1,4,2,2,1,3,5,1,5,5,2,2,1,3,18,2,2,5,9,7,1,2,2,2,0,0,1,4,5,13,1,3,2,7,23,2,9,2,41,2,5,2,4,2,0,7,7,12,5,2,11,14,3,6,6,5,4,16,7,1,8,3,16,4,4,4,0,2,10,0,0,17,2,0,1,14,2,34,3,0,4,13,3,3,6,0,2,4,15,2,0
 43-2015,11,7,1,0,11,3,6,3,9,3,1,5,2,8,2,2,26,2,6,2,3,2,1,1,25,13,3,5,11,3,8,2,0,4,0,0,1,11,0,4,1,23,0,15,1,4,0,5,2,0,1,21,6,1,2,8,0,5,2,2,1,6,1,2,4,29,0,13,5,2,7,2,1,1,4,2,15,5,18,4,1,5,0,9,1,2,98,4,1,5,5,5,4,3,9,5,13,5,1,2,11,3,1,3,1,1,28,9,3,0,0,22,7,1,6,23,4,2,4,3,1,5,0,1,9,23,131,13,27,8,3,6,1,4,2,1,9,11,4,1,6,3,2,29,2,0,2,2,0,5,3,4,7,2,1,10,9,1,2,1,3,5,4,12,1,2,3,2,3,2,4,5,2,1,1,7,14,21,3,4,8,2,3,4,15,2,6,6,9,0,5,2,2,2,10,6,1,2,1,5,3,4,10,12,2,5,9,7,6,3,9,43,3,3,1,0,2,14,4,1,2,0,4,0,6,7,1,3,1,2,5,1,1,17,1,3,19,8,3,0,0,1,4,0,1,0,5,1,20,3,4,2,5,20,1,5,5,31,1,3,1,2,2,1,5,0,8,4,1,16,13,1,3,5,3,2,8,7,0,8,1,12,1,5,4,1,0,13,0,1,13,2,0,0,24,0,45,0,1,2,8,2,3,9,0,2,4,18,2,4
 44-2015,7,9,4,3,2,5,2,4,6,2,1,5,5,3,0,3,23,2,8,5,1,1,1,0,25,8,1,9,4,3,7,2,2,4,0,1,2,10,1,2,1,15,0,17,2,10,6,3,3,0,2,25,9,3,2,15,0,0,4,3,1,1,1,2,4,24,2,12,3,2,2,2,0,1,6,2,10,9,15,4,1,3,0,10,0,1,98,4,3,7,6,8,7,3,10,8,19,8,1,0,8,3,1,0,1,0,23,5,0,2,0,24,5,5,12,23,2,5,3,4,1,4,0,3,2,19,117,11,30,6,2,8,3,7,3,1,12,12,4,0,4,10,2,31,1,0,0,1,1,3,3,3,2,4,1,11,9,4,2,2,4,4,1,8,2,3,8,2,2,3,3,4,1,2,4,3,22,16,1,3,6,4,11,2,9,0,4,1,13,0,10,4,4,2,9,2,3,1,1,4,3,2,13,11,5,2,10,3,3,0,12,44,8,1,0,1,3,6,9,1,2,0,1,1,2,6,1,4,6,2,6,0,1,16,2,0,5,7,11,2,6,3,4,0,1,1,4,9,21,1,5,5,6,25,1,8,4,37,1,5,1,2,1,1,10,2,10,5,2,9,13,1,4,7,6,5,15,3,0,4,1,13,2,2,3,4,3,13,0,4,15,4,2,1,12,1,39,1,2,5,8,3,3,5,1,1,1,26,1,1
 45-2015,13,10,4,2,6,6,1,2,12,1,2,9,0,3,4,4,33,4,6,3,3,1,2,0,25,13,0,4,6,2,12,2,1,5,0,0,4,8,2,7,1,16,0,12,2,7,2,3,6,0,2,17,10,3,5,8,0,3,4,2,2,10,2,3,10,43,3,11,3,0,4,3,1,0,3,2,7,3,22,6,1,2,0,14,0,3,29,7,6,5,4,10,7,3,6,11,10,5,2,3,15,5,0,2,0,0,24,4,2,0,0,29,9,3,11,18,2,7,6,5,1,5,0,1,7,17,108,15,37,3,1,6,3,3,1,0,13,18,5,0,2,6,1,22,4,2,5,2,0,4,3,3,4,3,2,12,7,3,2,1,1,5,4,12,1,0,5,1,1,2,6,7,0,0,2,8,27,16,3,9,8,1,6,1,10,3,13,6,6,3,10,3,1,2,9,5,2,1,2,6,4,4,18,13,2,4,10,3,8,1,7,48,4,0,0,3,8,14,3,3,1,4,4,2,4,4,0,7,5,3,3,4,0,20,3,2,13,5,8,2,8,2,2,0,0,0,2,5,22,0,8,3,8,30,3,6,4,47,1,2,2,6,3,0,9,1,8,9,6,9,13,1,4,3,2,2,13,9,2,0,0,14,1,3,4,2,1,14,1,4,16,3,0,2,10,3,54,0,2,5,5,6,5,8,1,1,1,19,2,3
 46-2015,13,14,1,0,4,7,3,0,9,4,2,9,1,3,0,1,28,1,3,0,4,1,1,1,42,6,1,6,4,3,9,4,2,0,2,2,0,12,2,2,6,9,0,20,0,4,1,2,5,2,2,14,9,1,6,13,0,4,2,3,0,12,1,4,7,34,2,10,2,1,4,2,2,3,4,4,9,4,28,2,0,1,0,10,1,3,7,18,1,6,1,6,3,1,12,9,21,4,0,4,13,1,0,1,3,0,16,10,3,1,3,33,6,5,11,18,5,8,3,5,0,7,1,1,4,13,113,17,23,5,2,2,0,2,2,1,9,11,3,0,6,3,2,19,2,3,0,4,0,4,6,1,2,2,3,11,7,0,1,0,2,5,11,13,0,1,6,0,4,1,3,5,3,3,4,6,16,12,4,7,14,2,3,1,14,4,9,8,16,1,8,1,0,4,10,2,4,1,1,12,1,3,11,7,0,5,10,4,14,2,7,38,2,0,2,0,4,6,5,4,2,2,3,1,3,5,0,6,4,3,7,1,0,19,2,2,14,7,9,3,3,0,1,3,0,3,0,8,26,1,7,4,10,20,3,5,0,46,0,5,3,3,1,1,6,1,10,5,2,8,12,3,3,4,8,2,13,8,2,2,2,23,2,2,3,0,1,4,1,0,21,1,2,3,15,3,45,1,3,2,8,4,2,10,1,3,3,11,8,6
 47-2015,12,7,0,0,8,5,3,3,11,2,1,5,0,3,2,1,28,2,3,2,1,1,1,2,29,12,3,5,8,0,7,2,0,3,3,0,1,13,1,5,2,8,0,17,2,9,2,2,0,3,1,14,9,4,3,10,4,4,6,5,2,13,0,1,6,34,0,10,3,0,6,2,1,3,3,3,7,4,16,1,0,3,0,17,0,4,4,8,1,2,7,6,8,4,9,11,16,5,1,3,16,1,1,2,2,1,22,8,2,3,0,26,5,7,11,30,5,5,9,6,2,10,2,1,6,18,119,13,27,5,2,11,2,1,4,1,9,19,5,1,6,5,2,41,4,0,7,0,0,0,2,1,10,3,3,12,5,1,2,1,4,9,6,4,2,0,3,1,0,1,7,4,4,1,4,8,33,23,2,5,12,2,3,7,8,2,8,7,14,1,14,0,2,1,7,1,2,0,0,5,4,2,9,11,1,2,7,5,4,3,10,39,7,0,1,2,9,10,4,2,6,3,1,2,6,7,0,11,7,1,6,0,0,14,0,2,9,8,14,4,2,1,7,0,1,0,3,4,19,0,1,1,10,22,0,8,4,61,3,7,5,3,1,4,6,1,6,4,0,4,19,1,2,4,7,2,15,1,3,3,1,13,3,1,4,1,1,11,0,6,20,0,1,2,13,3,49,0,1,1,9,0,2,10,1,2,3,12,2,3
 48-2015,18,9,1,2,2,2,7,4,12,2,3,5,3,3,1,2,35,2,9,4,2,3,4,1,37,4,2,5,4,0,8,6,2,3,2,1,4,11,2,3,6,20,0,16,5,10,1,7,3,4,2,27,10,3,5,10,1,1,4,3,3,8,1,2,5,42,1,12,1,3,3,3,6,3,5,2,6,3,26,2,1,5,0,11,1,3,2,7,3,6,4,7,5,3,12,7,12,7,4,2,11,4,1,0,0,1,30,7,2,3,0,31,7,3,8,14,1,11,5,4,1,4,0,0,8,10,122,10,33,7,3,8,2,4,3,6,9,19,3,1,9,7,0,23,5,4,3,2,0,4,5,3,3,2,2,13,4,1,0,1,3,9,7,9,1,2,1,0,2,4,2,6,2,0,2,7,23,32,0,7,14,5,6,2,13,2,10,7,19,2,6,1,0,2,16,4,6,1,4,2,2,0,16,9,1,6,4,5,6,0,12,50,8,0,1,1,2,7,3,2,3,1,8,4,7,7,3,5,8,6,5,1,1,19,0,1,20,10,11,2,4,6,7,0,1,0,4,11,22,0,9,4,4,24,2,8,3,45,1,5,0,5,0,1,9,4,12,4,3,5,17,1,9,7,4,4,12,5,1,0,1,19,3,2,1,0,0,11,1,6,24,0,2,0,24,3,42,2,2,3,11,4,3,5,0,3,2,15,1,4
 49-2015,7,12,2,3,5,3,4,3,14,4,2,10,2,5,6,3,50,2,6,1,2,1,1,0,35,6,4,6,5,1,5,5,1,2,3,1,4,17,3,1,0,14,2,21,3,7,1,6,2,2,0,29,7,1,2,11,1,5,6,5,0,7,3,0,3,50,0,13,3,2,5,3,1,0,2,2,10,3,29,3,0,3,0,11,2,2,4,4,4,5,7,8,3,5,12,10,13,11,3,2,14,0,0,1,0,1,18,6,1,1,1,19,7,2,12,26,3,2,11,6,0,6,1,3,5,23,153,8,37,8,3,7,3,4,6,1,21,21,4,1,9,7,1,28,4,2,1,2,1,3,4,5,4,1,3,9,5,1,2,2,2,8,9,9,2,3,4,0,2,2,2,2,4,0,2,5,23,23,3,7,10,0,6,3,10,4,10,10,15,0,16,2,3,3,12,3,1,0,1,3,2,3,14,10,3,0,5,5,8,0,15,42,9,3,1,1,5,9,2,2,2,4,6,3,1,3,1,2,7,5,5,5,1,18,1,0,13,6,18,4,1,0,4,0,3,0,1,8,31,3,2,3,6,26,1,10,4,51,2,7,2,1,1,1,6,3,17,4,1,10,20,2,4,5,3,2,20,5,1,3,1,11,1,8,6,3,0,14,2,2,13,0,0,2,21,1,57,0,1,4,12,3,2,5,3,2,1,12,4,4
 50-2015,9,8,0,2,4,7,3,2,9,4,1,19,2,1,5,8,41,2,6,4,0,0,1,0,31,11,1,8,6,2,3,4,2,3,1,1,1,14,1,6,9,16,0,21,3,8,0,3,3,1,2,23,7,2,4,13,1,4,5,3,1,5,1,2,5,41,3,10,2,0,10,3,1,2,7,3,14,2,24,2,1,11,1,8,1,2,6,5,1,3,2,7,8,6,12,7,10,7,5,3,13,1,1,1,4,1,19,7,2,2,0,31,4,4,13,18,1,3,7,4,1,6,1,0,1,11,144,14,31,3,6,5,4,6,4,3,16,23,4,2,6,8,1,32,3,1,2,5,1,2,3,0,3,3,1,17,4,3,2,1,5,3,3,8,0,4,4,0,1,3,4,3,5,2,0,8,26,24,2,12,13,2,4,3,12,3,10,8,11,3,7,2,2,3,8,2,0,1,0,7,3,3,18,10,1,3,8,2,8,3,11,42,4,0,2,0,5,14,4,1,1,2,0,0,9,5,1,1,4,3,10,1,1,17,1,4,11,4,9,0,1,2,1,1,1,1,3,2,29,2,4,6,8,18,3,9,10,48,2,6,3,1,1,1,5,2,5,8,1,6,15,0,14,5,3,2,14,4,1,2,3,17,3,4,5,2,1,14,1,3,25,1,0,1,19,5,35,1,5,3,11,4,1,10,3,4,1,8,4,0
 51-2015,5,15,3,0,5,7,2,5,14,1,0,8,2,2,2,5,31,4,7,2,1,1,4,0,22,9,4,12,12,0,7,3,3,2,0,1,1,15,0,3,3,19,2,22,3,9,2,6,4,4,2,24,6,2,4,7,1,1,7,3,4,9,1,1,5,38,0,12,1,1,1,1,3,1,5,1,6,9,32,2,0,4,0,11,2,5,9,7,6,6,3,2,6,6,11,9,12,9,6,0,21,2,0,2,2,0,24,10,2,2,1,35,7,8,8,27,4,3,8,7,2,4,0,4,6,21,130,12,54,5,2,6,2,9,2,3,9,16,3,2,13,6,3,29,2,2,5,4,2,1,2,2,7,1,4,10,6,3,2,2,3,5,6,12,2,2,6,1,5,2,3,3,7,2,8,7,28,32,1,9,17,3,5,2,14,0,10,9,13,1,13,1,1,9,7,4,2,0,4,2,5,4,9,19,4,3,5,1,7,1,14,54,7,0,0,1,3,13,3,2,4,2,3,0,4,6,3,4,3,0,6,1,1,14,4,2,15,6,5,5,2,2,4,0,2,2,0,8,33,1,5,3,9,23,1,9,4,39,1,3,1,1,1,4,9,1,13,4,3,5,14,3,4,4,4,3,18,8,1,3,2,19,1,1,3,0,2,9,2,2,18,0,1,3,16,3,51,2,2,2,12,8,1,11,4,0,3,27,3,4
 52-2015,5,7,1,2,3,10,6,4,8,6,3,5,1,4,1,0,44,0,7,2,1,2,4,1,34,9,4,4,5,2,8,5,3,2,3,2,1,11,0,8,5,12,0,14,6,8,0,6,5,2,0,22,6,5,6,10,1,1,13,4,2,7,4,2,10,38,0,12,2,1,2,5,0,3,6,2,10,2,30,3,1,6,0,5,3,4,6,8,3,4,5,6,7,9,16,7,3,11,4,4,13,1,0,0,2,2,17,10,1,2,2,24,5,4,9,24,6,5,7,3,2,11,1,1,9,18,113,10,43,3,4,13,2,4,4,3,13,20,5,0,6,6,1,28,2,0,4,6,4,4,3,4,5,3,0,16,9,0,2,0,4,3,2,10,4,3,3,1,4,1,2,3,1,1,2,6,12,27,4,8,16,3,6,3,8,3,10,6,19,1,10,2,4,2,16,1,2,0,0,3,8,1,6,18,1,5,11,5,10,2,7,63,9,1,3,0,5,9,4,0,6,1,3,1,3,8,1,6,7,3,6,2,0,20,4,3,19,9,8,1,6,3,4,1,3,0,1,5,31,1,5,6,10,21,2,9,1,58,1,4,1,6,4,2,8,0,11,7,2,2,17,4,5,3,5,5,17,6,0,3,2,14,3,5,5,2,1,17,0,5,20,0,0,2,26,2,50,5,1,3,9,5,2,10,0,0,2,13,3,1
 53-2015,4,4,3,0,1,5,4,1,3,1,2,8,0,3,1,1,26,0,7,1,0,2,0,1,26,5,4,3,3,1,4,0,0,0,3,0,1,8,1,5,3,10,0,14,0,10,2,4,0,2,0,16,2,2,1,6,0,2,2,1,1,9,1,2,4,29,2,12,3,0,5,1,1,4,1,3,10,5,20,1,0,1,0,6,2,0,3,5,5,2,2,2,6,3,2,6,6,4,1,1,10,1,1,4,0,1,10,9,0,1,1,16,3,3,9,18,2,2,2,2,1,5,0,0,2,16,92,6,19,3,0,4,0,2,1,2,8,7,1,2,6,2,0,12,3,0,2,0,0,1,3,3,3,2,1,11,4,1,0,1,1,4,1,4,1,2,2,0,0,1,1,3,2,0,2,4,16,18,0,7,4,1,1,2,10,1,6,7,8,1,10,0,2,1,5,0,1,0,1,0,1,2,11,9,2,3,5,5,6,0,5,40,2,1,1,1,2,3,3,1,1,3,1,2,1,4,3,1,2,2,1,1,0,11,0,2,8,8,8,1,3,1,3,0,0,0,3,2,20,0,3,4,10,13,2,9,2,38,2,1,4,1,2,0,4,3,2,4,0,2,8,2,1,2,2,2,10,3,2,0,0,5,2,2,3,0,2,8,0,1,8,3,4,1,19,0,33,1,1,1,9,4,0,10,1,0,0,14,3,2
 53-2015,5,6,3,0,3,0,2,1,4,3,0,7,1,2,1,0,16,1,2,0,2,1,0,1,20,4,0,11,2,2,1,0,0,3,4,0,0,4,0,3,1,12,0,8,2,6,1,1,2,1,0,10,5,3,0,8,0,1,1,2,0,5,1,0,2,20,1,3,4,1,5,1,1,1,2,1,4,0,16,2,0,8,0,5,0,0,6,8,1,3,3,1,3,0,7,3,6,2,2,1,7,2,1,1,0,0,7,2,2,1,0,11,1,2,6,11,1,5,2,2,2,5,0,1,3,12,57,10,20,0,2,2,1,3,1,0,4,8,2,1,5,2,0,9,4,0,4,0,1,1,1,1,5,0,1,11,2,1,3,1,0,4,3,7,2,1,3,0,1,2,0,2,4,1,0,5,17,14,0,4,4,0,2,1,3,1,4,4,10,0,9,2,1,0,6,1,1,0,0,3,0,1,3,5,1,4,3,1,5,0,10,21,1,0,0,2,3,3,0,0,2,0,2,0,2,3,0,2,4,2,2,0,0,9,0,2,4,2,7,1,1,1,5,0,0,1,1,2,15,0,6,1,4,9,3,5,2,32,1,1,0,2,0,1,6,1,3,2,0,1,8,3,3,2,3,2,8,6,1,3,0,6,1,0,1,3,0,6,0,0,7,0,1,2,10,0,28,2,1,2,1,3,1,0,1,0,2,6,3,0
 01-2016,5,8,5,2,5,4,5,4,12,1,1,8,1,2,2,3,46,3,12,1,3,1,3,3,25,10,7,7,6,2,13,9,1,6,2,0,2,13,2,4,10,27,3,14,4,10,2,3,8,0,3,32,8,5,6,15,2,4,4,4,2,7,1,4,7,34,6,13,5,0,4,2,1,1,6,1,10,4,19,9,1,10,0,15,2,1,2,4,4,6,5,6,11,6,19,7,9,5,4,7,19,2,1,1,2,0,7,11,2,1,2,43,8,1,17,19,2,2,6,6,2,4,0,0,7,24,122,22,37,5,4,7,3,4,4,1,19,24,4,1,7,8,2,34,3,1,7,2,1,3,2,4,7,1,2,15,5,1,4,0,4,2,4,16,1,5,6,0,0,4,3,7,6,2,4,7,29,38,2,6,9,3,8,3,10,1,8,8,13,1,9,1,2,3,16,2,3,2,0,6,7,2,24,9,5,1,6,7,8,3,10,64,6,1,1,0,6,5,5,3,7,1,4,2,3,6,1,4,5,3,5,1,1,32,5,2,27,8,15,6,3,1,5,1,3,2,4,3,25,1,12,4,8,29,0,13,2,54,3,8,0,6,3,3,9,0,9,9,2,8,23,5,3,6,5,3,15,3,2,2,2,17,2,5,1,3,0,11,1,2,25,4,1,2,18,3,50,4,2,7,12,6,3,12,8,2,1,19,8,5
 02-2016,8,8,4,2,2,9,7,8,12,2,1,10,1,1,2,4,37,3,10,3,1,3,3,1,34,7,4,6,14,6,4,6,1,6,0,1,2,16,1,4,2,30,0,21,0,10,5,4,7,2,4,27,10,5,3,21,1,2,11,5,2,13,1,4,12,44,2,13,3,0,3,5,5,3,4,3,10,4,24,6,0,5,0,6,1,3,2,3,1,3,7,6,6,6,13,10,15,8,2,5,12,0,2,4,1,3,28,7,0,2,1,26,4,2,16,18,7,7,8,4,0,10,0,1,5,26,137,13,37,8,2,8,4,2,4,2,15,20,0,0,8,8,0,24,5,2,4,6,1,2,1,3,5,4,2,16,8,4,0,1,4,3,9,11,4,1,10,0,5,1,3,1,5,0,5,11,29,31,1,10,16,3,4,6,13,7,10,6,16,2,5,2,1,6,8,6,1,3,1,5,5,1,17,9,0,2,14,5,5,1,12,48,5,1,2,1,4,5,5,2,3,3,6,1,6,8,2,3,4,3,8,2,2,23,4,5,20,11,19,3,5,1,6,0,3,0,3,6,31,3,5,7,11,28,3,16,2,55,4,9,2,2,1,0,8,5,8,9,3,13,14,1,7,4,7,2,13,5,1,2,6,22,2,1,4,3,3,13,2,1,30,2,3,4,24,4,51,3,1,8,14,5,4,9,5,0,2,23,1,2
 03-2016,19,4,3,1,6,10,2,6,18,5,4,15,2,2,2,5,53,2,12,5,5,0,3,1,26,13,5,1,13,5,3,2,0,3,4,0,1,19,3,5,6,17,2,12,1,9,2,11,5,1,3,34,6,6,3,13,0,2,2,6,3,8,1,1,16,32,3,12,1,0,5,7,3,4,2,3,9,2,27,3,1,9,0,9,3,2,9,6,4,5,2,5,8,11,18,8,18,8,2,3,20,2,3,1,2,0,24,9,1,1,2,22,5,4,14,23,6,5,14,7,0,8,0,0,5,21,147,17,41,8,7,8,2,6,6,2,15,18,8,1,6,8,2,32,5,2,4,3,1,4,2,2,6,4,4,21,9,4,2,0,0,3,6,8,3,5,3,0,0,3,2,3,3,0,4,5,33,36,2,9,10,3,3,6,14,4,9,10,14,3,7,3,3,4,9,3,4,1,2,9,4,1,16,20,5,4,8,2,4,1,16,51,5,0,1,1,4,14,4,4,7,1,4,3,4,5,5,6,8,2,9,1,0,24,6,1,18,10,14,4,4,2,5,1,1,0,1,8,41,0,5,6,17,27,8,11,2,66,2,7,2,3,0,2,6,5,14,15,1,14,18,3,7,10,5,2,14,11,2,1,2,16,6,3,7,4,3,10,1,2,21,1,3,3,21,3,70,1,3,2,20,7,2,6,2,4,3,23,4,5
 04-2016,12,8,4,1,2,9,4,10,15,6,1,10,1,6,3,1,44,5,4,5,3,1,3,4,21,8,2,2,11,4,6,10,4,3,4,0,2,22,3,7,3,26,0,18,3,8,1,11,1,4,1,23,9,4,7,11,0,5,11,6,4,9,6,6,6,36,1,10,1,2,3,2,1,1,5,2,8,6,36,3,1,8,0,11,0,5,5,8,2,3,5,4,6,2,15,6,16,11,2,4,7,3,4,2,1,2,23,10,2,1,3,24,3,4,6,20,7,2,8,4,0,10,0,1,4,17,144,15,30,3,3,4,3,1,5,2,13,14,9,0,9,12,2,27,5,0,4,4,1,2,3,1,7,3,1,22,3,2,1,1,5,1,7,13,1,1,1,0,1,5,6,7,6,1,5,4,24,42,1,7,13,3,7,9,14,0,15,8,14,1,12,1,0,0,10,2,4,0,3,6,6,3,13,11,2,5,13,6,6,2,13,52,9,1,1,0,3,9,2,0,1,5,4,2,9,6,1,5,12,4,13,0,0,28,3,4,17,8,17,1,2,3,7,1,2,2,2,8,33,0,3,3,13,34,1,12,5,61,2,9,4,7,2,1,9,3,13,13,1,7,18,5,10,5,7,1,16,5,1,0,1,20,1,3,4,2,1,14,2,0,32,1,2,2,20,9,64,2,2,3,10,1,2,8,1,0,4,19,3,6
 05-2016,19,7,2,0,4,7,5,7,20,2,1,9,0,4,1,5,35,4,9,4,5,3,3,2,46,12,1,6,7,1,10,4,1,6,1,0,7,17,1,10,0,22,0,20,4,9,1,6,4,5,4,18,7,4,5,19,0,2,4,3,1,7,3,5,6,35,3,19,0,1,4,3,1,3,0,6,10,5,29,2,1,3,0,10,2,1,5,9,5,9,3,7,7,2,11,10,19,7,1,6,12,1,2,0,2,2,18,8,1,1,3,26,7,8,14,26,1,5,7,7,1,5,0,2,6,21,138,20,43,12,0,3,8,7,5,0,16,16,6,1,4,6,2,36,6,0,4,4,1,6,1,2,7,1,3,11,3,2,1,0,2,8,4,6,2,2,4,0,0,2,5,4,2,0,1,7,20,33,4,8,10,3,8,9,13,1,8,7,18,1,10,2,3,2,11,4,1,2,0,11,5,6,15,20,1,3,6,2,6,0,12,55,7,1,0,2,4,11,6,3,7,2,0,1,5,4,0,10,6,1,3,3,0,20,0,1,19,9,16,2,4,3,4,1,1,3,5,5,34,1,7,6,7,32,4,4,5,55,1,8,1,3,1,1,7,3,13,12,13,10,19,3,7,4,3,3,14,6,2,5,5,18,4,7,3,3,1,12,1,2,19,1,3,3,19,1,31,5,1,3,13,5,0,1,3,3,3,23,4,1
